id,name,size,aui
0,Acute abdomen,894,A0639289
1,Congenital malformation unspecified,894,A0903852
2,Abnormalities of size and form of teeth,894,A0242195
3,Abnormal secretion of gastrin,894,A1840323
4,Spontaneous abortion,1000,A0242962
5,Habitual aborter,1000,A0556618
6,Missed abortion,894,A0242944
7,Threatened abortion,894,A0242974
8,Premature separation of placenta [abruptio placentae],1000,A1054658
9,Premature separation of placenta unspecified,894,A1054663
10,Acanthosis nigricans,1000,A0387755
11,Achondrogenesis,894,A0012115
12,Achondroplasia,894,A0018522
13,Acidosis,894,A0018896
14,Acne vulgaris,894,A0388035
15,Acne keloid,894,A0857548
16,Disorders of acoustic nerve,894,A0275643
17,Acquired coagulation factor deficiency,894,A0240865
18,Acquired deformity of chest and rib,894,A0243524
19,Ectopic ACTH syndrome,894,A0409732
20,Actinomycosis,1000,A0019394
21,Actinomycosis unspecified,894,A0639118
22,Abdominal actinomycosis,894,A0530794
23,Cervicofacial actinomycosis,894,A0541170
24,Acute atopic conjunctivitis,894,A0241470
25,Acute bronchiolitis,1000,A0241999
26,Acute bronchiolitis unspecified,894,A0858105
27,Acute erythraemia and erythroleukaemia,816,A0858175
28,Acute laryngitis,894,A0241973
29,Acute pancreatitis,1000,A0242594
30,Acute periodontitis,894,A0242251
31,Acute pharyngitis,1000,A0241962
32,Acute pharyngitis unspecified,894,A0858548
33,Acute thyroiditis,894,A0240527
34,Acute tonsillitis,1000,A0241967
35,Acute tonsillitis unspecified,894,A0858663
36,Primary adrenocortical insufficiency,894,A0776564
37,Adenovirus infection unspecified,894,A0640668
38,Adjustment disorders,894,A0859086
39,Disorder of adrenal gland unspecified,894,A0919265
40,Agnosia,894,A0020922
41,Agoraphobia,894,A0020941
42,Agranulocytosis,1000,A0020960
43,Dementia in human immunodeficiency virus [HIV] disease,894,A0914813
44,Ainhum,894,A0021103
45,Albinism,894,A0021247
46,Mental and behavioural disorders due to use of alcohol amnesic syndrome,894,A1000785
47,Alcohol use,894,A0861826
48,Mental and behavioural disorders due to use of alcohol withdrawal state with delirium,894,A1000801
49,Mental and behavioural disorders due to use of alcohol dependence syndrome,894,A1000787
50,Dyslexia and alexia,894,A0923268
51,Alkalosis,894,A0021612
52,Alopecia areata,1000,A0389152
53,Alopecia areata unspecified,894,A0862293
54,Alopecia mucinosa,894,A0389160
55,Alpha thalassaemia,894,A0862314
56,Alzheimer's disease,1000,A0389307
57,Alzheimer's disease unspecified,894,A0862506
58,Amoebiasis,1000,A0023013
59,Amoebiasis unspecified,894,A0643855
60,Cutaneous amoebiasis,894,A0910422
61,Congenital absence of unspecified limb(s),894,A0903254
62,Amenorrhoea unspecified,894,A0862619
63,Disorder of amino-acid metabolism unspecified,894,A0919267
64,Retrograde amnesia,894,A0452790
65,Amputation of limb(s),816,A0862931
66,Amyloidosis,1000,A0023230
67,Amyloidosis unspecified,894,A0863019
68,Ancylostomiasis,894,A0023575
69,Anaemia unspecified,894,A0863123
70,Aplastic anaemia unspecified,894,A0866879
71,Congenital dyserythropoietic anaemia,894,A0903493
72,Haemolytic anaemias,1154,A0956194
73,Acquired haemolytic anaemia,1000,A0638676
74,Acquired haemolytic anaemia unspecified,894,A0857782
75,Hereditary haemolytic anaemia unspecified,894,A0958933
76,Refractory anaemia with excess of blasts,894,A0782815
77,Sickle-cell disorders,1000,A1084340
78,Anencephaly,894,A0023740
79,Aneurysm of unspecified site,894,A0241845
80,Aneurysm of other specified arteries,894,A0644988
81,Angina pectoris,1000,A0389760
82,Angina pectoris unspecified,894,A0864052
83,Unstable angina,894,A0589684
84,Angioneurotic oedema,894,A0645152
85,Anhidrosis,894,A0024078
86,Absence of iris,894,A0637630
87,Ankylosis of joint,816,A0243269
88,Anogenital pruritus unspecified,894,A0864493
89,Anomalies of jaw-cranial base relationship,894,A0864503
90,Anorexia,894,A0024376
91,Anorexia nervosa,894,A0389997
92,Anosmia,894,A0024396
93,Coalworker's pneumoconiosis,1000,A0899673
94,Anthrax,1000,A0024576
95,Anthrax unspecified,894,A0645949
96,Cutaneous anthrax,894,A0239882
97,Dissocial personality disorder,894,A0689401
98,Anxiety disorder unspecified,894,A0646558
99,Coarctation of aorta,894,A0266180
100,Nonrheumatic aortic valve disorders,1000,A1012791
101,Aortic (valve) insufficiency,894,A0866619
102,Aortic (valve) stenosis,894,A0866621
103,Stenosis of aorta,894,A1091357
104,Aortopulmonary septal defect,894,A0866706
105,Aphakia,894,A0025542
106,Aphonia,894,A0025593
107,Unspecified appendicitis,1000,A1112249
108,Apraxia,894,A0025885
109,Venom of spider,894,A1116721
110,Arnold-Chiari syndrome,894,A0535449
111,Cardiac arrhythmia unspecified,894,A0891269
112,Arteritis unspecified,894,A0647894
113,Pain in joint,816,A0243288
114,Arthritis unspecified,816,A0868683
115,Pyogenic arthritis,894,A0450353
116,Pyogenic arthritis unspecified,816,A1060177
117,Arthropathic psoriasis,894,A0868738
118,Rheumatoid arthritis unspecified,816,A1071499
119,Arthrogryposis multiplex congenita,894,A0535536
120,Neuropathic arthropathy,816,A0570147
121,Ascariasis,1000,A0026845
122,Ascariasis unspecified,894,A0648386
123,Ascites,1000,A0026880
124,Ascorbic acid deficiency,1000,A0391966
125,Aspergillosis,1000,A0027052
126,Aspergillosis unspecified,894,A0648606
127,Disseminated aspergillosis,894,A0549141
128,Asphyxia,894,A0027112
129,Asphyxiation,1000,A0004527
130,Birth asphyxia,1000,A0656678
131,Birth asphyxia unspecified,894,A0878822
132,Inhalation of gastric contents,894,A0969631
133,Assault,1154,A0648814
134,Assault by unspecified means,1000,A0244270
135,Asthma,1000,A0027332
136,Asthma unspecified,894,A0648867
137,Astigmatism,894,A0027356
138,Ataxia unspecified,894,A0871746
139,Hereditary ataxia,1000,A0557515
140,Hereditary ataxia unspecified,894,A0958904
141,Pulmonary collapse,894,A0450035
142,Atherosclerosis,1000,A0027478
