,Unnamed: 0,source,target,width,color,name
0,374,3016,374,143.4,#FFC0CB,3016 (interacts with) 374
1,373,3016,373,143.4,#FFC0CB,3016 (interacts with) 373
2,393,3017,393,143.4,#FFC0CB,3017 (interacts with) 393
3,392,3017,392,143.4,#FFC0CB,3017 (interacts with) 392
4,383,3018,383,143.4,#FFC0CB,3018 (interacts with) 383
5,382,3018,382,143.4,#FFC0CB,3018 (interacts with) 382
6,380,3019,380,143.4,#FFC0CB,3019 (interacts with) 380
7,379,3019,379,143.4,#FFC0CB,3019 (interacts with) 379
8,381,3020,381,143.4,#FFC0CB,3020 (interacts with) 381
9,364,3020,364,143.4,#FFC0CB,3020 (interacts with) 364
10,387,3021,387,143.4,#FFC0CB,3021 (interacts with) 387
11,386,3021,386,143.4,#FFC0CB,3021 (interacts with) 386
12,385,3022,385,143.4,#FFC0CB,3022 (interacts with) 385
13,384,3022,384,143.4,#FFC0CB,3022 (interacts with) 384
14,391,3023,391,143.4,#FFC0CB,3023 (interacts with) 391
15,390,3023,390,143.4,#FFC0CB,3023 (interacts with) 390
16,377,3024,377,143.4,#FFC0CB,3024 (interacts with) 377
17,378,3024,378,143.4,#FFC0CB,3024 (interacts with) 378
18,389,3025,389,143.4,#FFC0CB,3025 (interacts with) 389
19,388,3025,388,143.4,#FFC0CB,3025 (interacts with) 388
20,375,3026,375,143.4,#FFC0CB,3026 (interacts with) 375
21,376,3026,376,143.4,#FFC0CB,3026 (interacts with) 376
22,371,3027,371,143.4,#FFC0CB,3027 (interacts with) 371
23,372,3027,372,143.4,#FFC0CB,3027 (interacts with) 372
24,394,3028,394,143.4,#FFA500,3028 (interacts with) 394
25,3017,3028,3017,286.8,#0000FF,3028 (interacts with) 3017
26,2264,3029,2264,66.0,#FFC0CB,3029 (interacts with) 2264
27,2263,3029,2263,66.0,#FFC0CB,3029 (interacts with) 2263
28,3020,3030,3020,286.8,#FFC0CB,3030 (interacts with) 3020
29,3019,3030,3019,286.8,#FFC0CB,3030 (interacts with) 3019
30,3022,3031,3022,286.8,#FFC0CB,3031 (interacts with) 3022
31,3018,3031,3018,286.8,#FFC0CB,3031 (interacts with) 3018
32,395,3032,395,143.4,#FFC0CB,3032 (interacts with) 395
33,396,3032,396,143.4,#FFC0CB,3032 (interacts with) 396
34,2265,3033,2265,66.0,#FFC0CB,3033 (interacts with) 2265
35,2266,3033,2266,66.0,#FFC0CB,3033 (interacts with) 2266
36,2613,3034,2613,53.2,#FFC0CB,3034 (interacts with) 2613
37,2614,3034,2614,53.2,#FFC0CB,3034 (interacts with) 2614
38,3021,3035,3021,286.8,#FFC0CB,3035 (interacts with) 3021
