,id,name,size,info
5683,0,Protons,1063," C0033727, "
3679,1,"Enzyme, NOS",940," C0014442, "
963,2,H Antibody,1057," C0369286, "
3039,3,antibodies m,1043," C0369637, "
1558,4,Level,1130," C2946261, "
1334,5,calcium ions,890," C0596235, "
2603,6,animal allergen extracts,1043," C3540698, "
5376,7,complex (molecular entity),1089," C1704241, "
3171,8,N not otherwise specified Antibody,1084," C0369718, "
2688,9,DNA,787," C0012854, "
3416,10,"Antigen, NOS",893," C0003320, "
3840,11,Contrast Medium,1125," C0009924, "
1023,12,DNA sequencing,863," C0162326, "
1794,13,ion potassium,925," C0597277, "
3852,14,Sodium Cation,888," C0597484, "
4816,15,"Gene, NOS",702," C0017337, "
1458,16,injection product,1019," C1272883, "
3891,17,Compound (substance),931," C1706082, "
4828,18,"Sequences, Base",847," C0004793, "
2594,19,"Glucose, NOS",838," C0017725, "
2578,20,insulins,849," C0021641, "
231,21,Recombinant Insulin,846," C1533581, "
892,22,Insulin [EPC],846," C1579433, "
4976,23,Insulin Drug Class,846," C3714501, "
1642,24,Mediator brand of benfluorex hydrochloride,1016," C0127400, "
4531,25,"Acid, NOS",917," C0001128, "
3769,26,PREVENT (product),1081," C0309872, "
2705,27,"Peptide, NOS",810," C0030956, "
2315,28,"Immunoglobulin, NOS",853," C0021027, "
524,29,RNA sequencing,840," C0162327, "
1298,30,Dietary Lead,1064," C2348269, "
3081,31,"Plumbum metallicum, homeopathic preparation",1065," C1442948, "
439,32,"Lead, NOS",1064," C0023175, "
5725,33,Agent,1022," C0450442, "
5439,34,calcium dietary,911," C0006726, "
4424,35,Metabolites,880," C0870883, "
1014,36,"Calcium, NOS",911," C0006675, "
1612,37,CALCIUM SUPPLEMENTS,911," C3540037, "
5220,38,Calcium Drug Class,911," C3714611, "
3849,39,Calcium [EPC],911," C2936886, "
1020,40,norepinephrines,825," C0028351, "
5916,41,Monoclonal Antibodies,738," C0003250, "
3068,42,"Oxygen, NOS",848," C0030054, "
2445,43,"Amino acid, NOS",724," C0002520, "
6027,44,ethanols,868," C0001962, "
1088,45,WAS Gene,1066," C1421478, "
3801,46,Wiskott Aldrich Syndrome Protein,1062," C0258432, "
3646,47,"Polypeptide, NOS",670," C1305923, "
1328,48,"Plasmid, NOS",475," C0032136, "
5040,49,messenger RNA,540," C0035696, "
